type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,cancer,228,15,4.03979709108004,0.225301727580532,1,,
survival,cancer,228,15,3.69244549110479,0.205091752509831,0.90939210066558,-0.347351599975244,FALSE
survival,cancer,228,15,3.37058500593497,0.186694648990292,0.826911894830992,-0.321860485169827,FALSE
survival,cancer,228,15,3.07955849611886,0.169947799143886,0.751830313594821,-0.291026509816108,FALSE
survival,cancer,228,15,2.80936326218875,0.154703172212249,0.683483686863202,-0.270195233930106,FALSE
survival,cancer,228,15,2.55934516143382,0.140826016065498,0.621267876957739,-0.250018100754928,FALSE
survival,cancer,228,15,2.32906160036288,0.128193666085081,0.56463293844947,-0.230283561070941,FALSE
survival,cancer,228,15,2.11774400273077,0.116694460892013,0.513078257015457,-0.211317597632117,FALSE
survival,cancer,228,15,1.92445631167167,0.106226755336255,0.466148124348771,-0.193287691059093,FALSE
survival,cancer,228,15,1.75042513591903,0.0966980220227487,0.423427710007122,-0.174031175752643,FALSE
survival,cancer,228,15,1.59121569217184,0.0880240334321938,0.384539394593993,-0.15920944374719,FALSE
survival,cancer,228,15,1.44685580736783,0.0801281174070877,0.349139431860094,-0.144359884804015,FALSE
survival,cancer,228,15,1.31602893802172,0.072940479422019,0.316914910220406,-0.130826869346102,FALSE
survival,cancer,228,15,1.19654860379565,0.066397585647549,0.287580986828663,-0.119480334226071,FALSE
survival,cancer,228,15,1.089007042887,0.0604416013543879,0.260878369760397,-0.10754156090865,FALSE
survival,cancer,228,15,0.990964772061526,0.0550198796937371,0.236571026048742,-0.098042270825476,FALSE
survival,cancer,228,15,0.901841137993622,0.0500844963349657,0.214444095313602,-0.0891236340679041,FALSE
survival,cancer,228,15,0.820593480894141,0.0455918258471352,0.194301990542072,-0.0812476570994807,FALSE
survival,cancer,228,15,0.746282844128537,0.0415021560798717,0.175966669232327,-0.0743106367656041,FALSE
survival,cancer,228,15,0.678445690654695,0.0377793371349759,0.159276059619037,-0.0678371534738425,FALSE
survival,cancer,228,15,0.616609856742709,0.0343904618259192,0.144082628069235,-0.0618358339119859,FALSE
survival,cancer,228,15,0.560309199216851,0.0313055748007042,0.130252074985379,-0.0563006575258581,FALSE
survival,cancer,228,15,0.509093225584826,0.0284974077569337,0.117662147688286,-0.0512159736320244,FALSE
survival,cancer,228,15,0.462480257380982,0.0259411384085712,0.106201559786627,-0.0466129682038443,FALSE
survival,cancer,228,15,0.420037316607713,0.0236141710738204,0.0957690074809467,-0.042442940773269,FALSE
survival,cancer,228,15,0.381547120528404,0.021495936944672,0.0862722741069973,-0.0384901960793089,FALSE
survival,cancer,228,15,0.3474166640551,0.0195677122726357,0.0776274150031731,-0.0341304564733042,FALSE
survival,cancer,228,15,0.316296759911607,0.0178124528635428,0.069758015496815,-0.0311199041434934,FALSE
survival,cancer,228,15,0.287823619371248,0.0162146434184662,0.0625945154504955,-0.0284731405403584,FALSE
survival,cancer,228,15,0.261882194441469,0.0147601603890346,0.0560735943977319,-0.0259414249297794,FALSE
survival,cancer,228,15,0.238258327663455,0.0134361471348738,0.0501376118331441,-0.0236238667780137,FALSE
survival,cancer,228,15,0.216753061075717,0.0122309002796538,0.0447340977096053,-0.021505266587738,FALSE
survival,cancer,228,15,0.197182657168624,0.0111337662612044,0.0398152886387246,-0.0195704039070932,FALSE
survival,cancer,228,15,0.179376575207776,0.0101350471612741,0.0353377056949916,-0.0178060819608473,FALSE
survival,cancer,228,15,0.163178235859558,0.00922591498253168,0.0312617700916568,-0.0161983393482185,FALSE
survival,cancer,228,15,0.14844437608342,0.00839833361507534,0.0275514533311857,-0.0147338597761383,FALSE
survival,cancer,228,15,0.13504293679408,0.00764498780268944,0.0241739587378536,-0.0134014392893398,FALSE
survival,cancer,228,15,0.122854153676926,0.00695921848095647,0.0210994315574468,-0.0121887831171539,FALSE
survival,cancer,228,15,0.111768475619009,0.00633496391565839,0.0183006950615477,-0.0110856780579168,FALSE
survival,cancer,228,15,0.101686570772896,0.0057667061211704,0.0157530103237466,-0.0100819048461135,FALSE
survival,cancer,228,15,0.0925164580736844,0.0052494220852224,0.0134338575443635,-0.00917011269921116,FALSE
survival,cancer,228,15,0.0841758996366096,0.0047785393688881,0.0113227369907419,-0.00834055843707482,FALSE
survival,cancer,228,15,0.0765896353938424,0.00434989568933587,0.00940098779355916,-0.0075862642427672,FALSE
survival,cancer,228,15,0.0696897612884002,0.00395970212808053,0.0076516229974384,-0.00689987410544218,FALSE
survival,cancer,228,15,0.0634147349836341,0.00360450963952181,0.0060591794078207,-0.00627502630476612,FALSE
survival,cancer,228,15,0.0577114095097257,0.00328117856372791,0.00460958090684605,-0.00570332547390839,FALSE
survival,cancer,228,15,0.0525208215082087,0.00298685087397792,0.00329001403004858,-0.00519058800151702,FALSE
